Lambda,acc,mse_krr,mse_lrr,mse_nn
0.58,0.8781812012215813,3.7002466798291755,0.8288862770957272,0.42587123859579995
0.59,0.8130302002035968,0.5089551090858905,1.0085515040475383,0.3957379961026104
0.6,0.8982015609093994,2.073410742285946,1.2103477671589433,0.40457346865172733
0.61,0.8944689514760774,2.0171181122346926,0.8670289277443479,0.3704287080810367
0.62,0.8751272480488632,2.828496701143222,0.9847605703484832,0.3640150624647149
0.63,0.8622327790973872,2.723675492247555,0.6887367277496916,0.3911183416225304
0.64,0.8822531387852053,0.5157415278725385,1.0476829884982146,0.36389884561691827
0.65,0.8758059043094673,3.8366031842576858,0.6110278023455904,0.36273028391057055
0.66,0.8839497794367153,3.1767171312836795,1.3668029893707132,0.40286728011686734
0.67,0.9205972175093315,3.204406168963826,0.7729208897450136,0.4073404096876221
0.68,0.9070240922972514,1.8721552381930238,0.7616744411911653,0.3357991697961532
0.69,0.8713946386155412,1.192275861214373,0.5607904770025295,0.3970446014673534
0.7,0.8870037326094333,2.538370161074602,0.9057325694012475,0.3737499935019848
0.71,0.8978622327790974,5.34389987252211,1.0445109414460987,0.41057621169324565
0.72,0.8795385137427892,0.6541892659380318,0.7732390980222499,0.425705586692811
0.73,0.8887003732609433,2.0438773912553727,0.847134449053348,0.3825841380383137
0.74,0.8910756701730573,1.3880678527650894,0.5903401206335537,0.3211072417748891
0.75,0.8819138106549033,1.5413438491581848,1.0469535234085747,0.3559559526296513
0.76,0.8768238887003733,4.05579130407022,1.066268137636347,0.3720369862343911
0.77,0.8825924669155073,3.7130382520876615,1.3012264609482835,0.4259960485403247
0.78,0.8914149983033594,0.8857577571292937,0.6937490263394185,0.4420614915014237
0.79,0.8859857482185273,1.8998109486323747,0.6035800575323671,0.40658854080516077
0.8,0.8585001696640652,1.136465866486748,1.7042052553718567,0.3916712650775591
0.81,0.8914149983033594,1.453652409379042,0.6106750211055343,0.3713567916945296
0.82,0.9199185612487275,2.0323123992527727,0.7279688215518282,0.3790142610960841
0.83,0.9083814048184594,4.675332867681177,0.5382232695429562,0.3567628288534098
0.84,0.8693586698337292,7.488502451993921,0.28308979993540995,0.3991333223446561
0.85,0.8734306073973532,4.460982986454505,0.4703111446054023,0.37484179190282324
0.86,0.8785205293518833,3.0564323098224233,0.9023100716536671,0.4012911501343651
0.87,0.8887003732609433,4.4227108573904905,0.5173556462065265,0.3590952187065599
0.88,0.9239904988123515,3.9486657847740276,0.8233678244039649,0.3835964791187203
0.89,0.8982015609093994,0.9211025863653333,0.880893371418967,0.34943458639887004
0.9,0.9148286392941974,3.064241042665155,0.8650723897945982,0.3697843458640423
